,titles,links,images
0,Coronavirus Outbreak LIVE Updates: 47-year-old police inspector dies of COVID-19 in Chennai; Tamil Nadu registers 2141 new cases - Firstpost,https://www.firstpost.com/health/coronavirus-outbreak-live-updates-covid-19-india-today-lockdown-amit-shah-meeting-latest-news-corona-situation-cases-death-current-status-vaccine-symptoms-delhi-maharashtra-8494851.html,https://images.firstpost.com/wp-content/uploads/2020/06/AP20161235707597-1.jpg
1,"Coronavirus Vaccine Latest Update / COVID-19 Vaccine News: From ""life-saving"" Dexamethasone to Oxford COVID-19 vaccine guaranteeing protection here are all the updates - Times of India",https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-vaccine-latest-update-covid-19-vaccine-news-from-lifesaving-dexamethasone-to-oxford-covid-19-vaccine-guaranteeing-protection/photostory/76446099.cms,https://static.toiimg.com/photo/76446443.cms
2,India Coronavirus Updates 18 June: Fatality rate rises to 3.3% in last two days - The Indian Express,https://indianexpress.com/article/india/india-coronavirus-updates-18-june-covid-19-amit-shah-pm-modi-maharashtra-delhi-telangana-sc-6464786/,https://images.indianexpress.com/2020/06/Pune-2.jpg?w=759
