,Unnamed: 0,Unnamed: 0.1,date,location,text
13415,13467,979,03 07 2020 11 38,mumbai india,rt unhappy delhi govt rule reserving 20 beds covid patients pvt hospitals demand separate hospitals covid
13420,13472,984,03 07 2020 11 35,mumbai india,rt massive scale scam karnataka government covid essentials procurement government paid 1 3 rates ppe
13428,13480,992,03 07 2020 11 24,mumbai india,rt nanavati super speciality hospital first booked matter says scrutinise bill coronavirus
13499,13551,1063,03 07 2020 10 30,new delhi mumbai india,step tenders world publish find tenders
13530,13582,1094,03 07 2020 10 14,mumbai india,rt covid 19 positive symptomatic asymptomatic presymptomatic treat et
13558,13610,1122,03 07 2020 09 56,mumbai india,rt recovering covid 19 kolkata cop donates plasma sgt ekhlaque ahmed bowbzar ps kolkatapolice donates
13575,13627,1139,03 07 2020 09 50,mumbai india,mirabhayandar highest single day spike 171 new covid 19 positive cases 4 deaths icymi replug covid
13598,13650,1162,03 07 2020 09 35,mumbai india,rt central drug standard control organisation grants approval zyduscadilla initiate phase ii human clinical tr
13611,13663,1175,03 07 2020 09 29,mumbai india,rt indiafightscorona minding minds covid19 stigmatise people covid maintain safe physic
13623,13675,1187,03 07 2020 09 24,mumbai india,sarojkhan family releases statement choreographer demise cancels prayer meet due covid crisis
13625,13677,1189,03 07 2020 09 22,mumbai india,rt india inc fight war covid watch manish enam holdings live
13632,13684,1196,03 07 2020 09 16,mumbai india,spoke someone taking azithromycin preventative measure covid tallest rooftop
13644,13696,1208,03 07 2020 09 09,mumbai india,rt bloody hell us going another child brutally raped murdered know world
13671,13723,1235,03 07 2020 08 54,mumbai india,rt abdul ahad mandi poonch j amp k received free ration govt pmgkay expresses gratitude furt
13707,13759,1271,03 07 2020 08 40,mumbai india,good news government plans launch india covid vaccine 15th august
13828,13880,1392,03 07 2020 07 54,mumbai india,dive death let death come covid 19india
13836,13888,1400,03 07 2020 07 49,mumbai india,rt monsoon update imd issues orange alert mumbai amid section 144 covid read
13840,13892,1404,03 07 2020 07 48,mumbai india,rt two isolation centres dharavi mumbai closed covid 19 cases come
13878,13930,1442,03 07 2020 07 33,mumbai india,breakingnews two isolation centres dharavi mumbai closed covid 19 cases come
13904,13956,1468,03 07 2020 07 23,mumbai india,rt got reply prof balram bhargava dg regarding request help increasing testing covid
13905,13957,1469,03 07 2020 07 23,mumbai india,rt india inc fight war covid watch manish enam holdings live
13914,13966,1478,03 07 2020 07 16,mumbai india,rt got reply prof balram bhargava dg regarding request help increasing testing covid
13922,13974,1486,03 07 2020 07 12,navi mumbai india,central drug standard control organisation national regulatory body indian pharmaceuticals medical
13925,13977,1489,03 07 2020 07 10,mumbai india,please note invitation startuppr comms4startups startupbusiness prlessons covid india
13944,13996,1508,03 07 2020 07 03,mumbai india,getting ready entertainment covid world one sanitised step time mask pop corn
13950,14002,1514,03 07 2020 07 00,mumbai india,rt india inc fight war covid watch manish enam holdings live
